"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8673,0.0461,8.8673,0.0461,8.9134,1.0,1.0,0.0,459.6446
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8673,0.0461,8.8136,0.0696,8.8136,0.9888,1.0113,51.1111,464.8515
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8673,0.0461,8.8351,0.0717,8.8351,0.9912,1.0089,55.5556,463.72
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8673,0.0461,8.8105,0.0778,8.8105,0.9885,1.0117,68.8889,465.0136
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7752,0.0543,8.7752,0.0543,8.8294,1.0,1.0,0.0,464.1291
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7752,0.0543,8.8259,0.0758,8.8259,0.9996,1.0004,39.6226,464.3176
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7752,0.0543,8.8837,0.0891,8.8837,1.0061,0.9939,64.1509,461.2936
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7752,0.0543,8.8079,0.108,8.8079,0.9976,1.0024,99.0566,465.2623
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7598,0.0778,8.7598,0.0778,8.8376,1.0,1.0,0.0,463.9252
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7598,0.0778,8.7649,0.0963,8.7649,0.9918,1.0083,23.6842,467.7734
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7598,0.0778,8.9277,0.1285,8.9277,1.0102,0.9899,65.1316,459.2425
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7598,0.0778,8.9073,0.1572,8.9073,1.0079,0.9922,101.9737,460.2985
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7931,0.1172,8.7931,0.1172,8.9103,1.0,1.0,0.0,460.5887
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7931,0.1172,8.8028,0.13,8.8028,0.9879,1.0122,10.917,466.2145
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7931,0.1172,8.9103,0.169,8.9103,1.0,1.0,44.1048,460.5887
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7931,0.1172,8.9006,0.2309,8.9006,0.9989,1.0011,96.9432,461.0921
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8115,0.1987,8.8115,0.1987,9.0102,1.0,1.0,0.0,456.3729
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8115,0.1987,8.7721,0.2115,8.7721,0.9736,1.0271,6.4433,468.7591
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8115,0.1987,8.9411,0.2857,8.9411,0.9923,1.0077,43.8144,459.9009
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8115,0.1987,8.9836,0.4096,8.9836,0.997,1.003,106.1856,457.7254
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8074,0.5847,8.8074,0.5847,9.3921,1.0,1.0,0.0,439.517
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8074,0.5847,8.8289,0.6026,8.8289,0.94,1.0638,3.0648,467.5539
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8074,0.5847,8.9789,0.9375,8.9789,0.956,1.046,60.3328,459.7422
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8074,0.5847,8.9626,1.428,8.9626,0.9543,1.0479,144.2207,460.5827
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8259,0.9216,8.8259,0.9216,9.7475,1.0,1.0,0.0,426.778
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8259,0.9216,8.894,0.9349,8.894,0.9124,1.096,1.4444,467.7336
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8259,0.9216,8.9974,1.7792,8.9974,0.923,1.0834,93.0556,462.357
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8259,0.9216,8.9917,2.5155,8.9917,0.9225,1.084,172.9445,462.6466
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7997,1.492,8.7997,1.492,10.2917,1.0,1.0,0.0,410.4274
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7997,1.492,8.8658,1.5068,8.8658,0.8614,1.1608,0.9952,476.438
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7997,1.492,9.0051,2.8022,9.0051,0.875,1.1429,87.8174,469.0698
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7997,1.492,8.9487,4.5327,8.9487,0.8695,1.1501,203.8092,472.022
